coverlip code,treatment,values
G,ca-rab21,42.188
G,ca-rab21,85.208
G,ca-rab21,26.282
G,ca-rab21,68.658
G,ca-rab21,28.215
G,ca-rab21,18.632
G,ca-rab21,17.27
G,ca-rab21,23.759
G,ca-rab21,82.176
G,ca-rab21,22.807
G,ca-rab21,68.6
G,ca-rab21,38.839
G,ca-rab21,16.033
G,ca-rab21,79.249
G,ca-rab21,39.24
G,ca-rab21,22.206
G,ca-rab21,42.571
G,ca-rab21,18.239
G,ca-rab21,89.949
G,ca-rab21,30.708
G,ca-rab21,54.21
G,ca-rab21,70.797
G,ca-rab21,50.715
G,ca-rab21,56.684
G,ca-rab21,98.083
G,ca-rab21,14.12
G,ca-rab21,69.41
G,ca-rab21,78.19
G,ca-rab21,86.708
G,ca-rab21,89.728
G,ca-rab21,33.644
G,ca-rab21,82.506
G,ca-rab21,29.07
G,ca-rab21,33.168
G,ca-rab21,107.638
G,ca-rab21,86.642
G,ca-rab21,28.158
G,ca-rab21,169.23
G,ca-rab21,72.139
G,ca-rab21,87.432
G,ca-rab21,90.459
G,ca-rab21,133.374
G,ca-rab21,66.103
G,ca-rab21,22.343
G,ca-rab21,47.452
G,ca-rab21,43.808
G,ca-rab21,103.016
G,ca-rab21,44.099
G,ca-rab21,18.125
G,ca-rab21,34.882
G,ca-rab21,66.003
G,ca-rab21,53.537
G,ca-rab21,68.73
G,ca-rab21,58.561
G,ca-rab21,39.721
G,ca-rab21,53.894
G,ca-rab21,38.67
G,ca-rab21,36.692
G,ca-rab21,86.12
G,ca-rab21,21.29
G,ca-rab21,69.501
G,ca-rab21,61.733
G,ca-rab21,9.04
G,ca-rab21,48.945
G,ca-rab21,30.825
G,ca-rab21,6.117
G,ca-rab21,87.356
G,ca-rab21,45.037
G,ca-rab21,34.347
G,ca-rab21,40.49
G,ca-rab21,37.692
G,ca-rab21,68.093
G,ca-rab21,166.171
G,ca-rab21,64.52
G,ca-rab21,43.405
G,ca-rab21,161.052
G,ca-rab21,53.206
G,ca-rab21,35.224
G,ca-rab21,19.613
G,ca-rab21,99.653
G,ca-rab21,21.936
G,ca-rab21,41.946
G,ca-rab21,117.481
G,ca-rab21,91.38
G,ca-rab21,74.417
G,ca-rab21,29.474
G,ca-rab21,72.495
G,ca-rab21,27.053
G,ca-rab21,28.788
G,ca-rab21,11.532
G,ca-rab21,51.255
G,ca-rab21,79.416
G,ca-rab21,21.551
G,ca-rab21,67.501
G,ca-rab21,27.602
G,ca-rab21,35.972
G,ca-rab21,80.852
G,ca-rab21,14.315
G,ca-rab21,44.161
G,ca-rab21,88.851
G,ca-rab21,5.886
G,ca-rab21,6.37
P,ca-rab21,37.834
P,ca-rab21,12.503
P,ca-rab21,38.644
P,ca-rab21,9.358
P,ca-rab21,52.944
P,ca-rab21,96.442
P,ca-rab21,36.162
P,ca-rab21,11.49
P,ca-rab21,42.371
P,ca-rab21,20.764
P,ca-rab21,6.184
P,ca-rab21,11.745
P,ca-rab21,8.721
P,ca-rab21,13.796
P,ca-rab21,15.481
P,ca-rab21,19.921
P,ca-rab21,7.854
P,ca-rab21,11.6
P,ca-rab21,57.927
P,ca-rab21,27.907
P,ca-rab21,13.911
P,ca-rab21,23.422
P,ca-rab21,99.002
P,ca-rab21,179.857
P,ca-rab21,61.228
P,ca-rab21,17.55
P,ca-rab21,26.501
P,ca-rab21,30.962
P,ca-rab21,8.531
P,ca-rab21,12.487
P,ca-rab21,61.745
P,ca-rab21,20.103
P,ca-rab21,60.553
P,ca-rab21,32.836
P,ca-rab21,29.275
P,ca-rab21,45.97
P,ca-rab21,49.247
P,ca-rab21,63.773
P,ca-rab21,53.36
P,ca-rab21,8.144
P,ca-rab21,14.764
P,ca-rab21,11.107
P,ca-rab21,19.921
P,ca-rab21,79.168
P,ca-rab21,60.699
P,ca-rab21,63.81
P,ca-rab21,111.255
P,ca-rab21,119.721
P,ca-rab21,15.964
P,ca-rab21,14.11
P,ca-rab21,10.804
P,ca-rab21,15.815
P,ca-rab21,53.868
P,ca-rab21,27.055
P,ca-rab21,56.266
P,ca-rab21,47.962
P,ca-rab21,31.202
P,ca-rab21,73.795
P,ca-rab21,134.777
P,ca-rab21,11.055
